ID;RFERR;ARCH1;ARCH2;QSURF;QPERC;ESOIL;QINTF;Q_TDH;SNOWM;INTRC
2;multiplc_e;tension1_1;tens2pll_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
6;multiplc_e;onestate_1;tens2pll_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
8;multiplc_e;tension1_1;unlimfrc_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
10;multiplc_e;tension2_1;unlimfrc_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
12;multiplc_e;onestate_1;unlimfrc_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
14;multiplc_e;tension1_1;unlimpow_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
16;multiplc_e;tension2_1;unlimpow_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
18;multiplc_e;onestate_1;unlimpow_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
20;multiplc_e;tension1_1;fixedsiz_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
22;multiplc_e;tension2_1;fixedsiz_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
24;multiplc_e;onestate_1;fixedsiz_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
26;multiplc_e;tension1_1;tens2pll_2;prms_varnt;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
30;multiplc_e;onestate_1;tens2pll_2;prms_varnt;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
32;multiplc_e;tension1_1;unlimfrc_2;prms_varnt;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
34;multiplc_e;tension2_1;unlimfrc_2;prms_varnt;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
36;multiplc_e;onestate_1;unlimfrc_2;prms_varnt;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
